seq_num,tm
50469,1681190269.3779905
50577,1681190269.3789868
50601,1681190269.3789868
50941,1681190269.3798442
51201,1681190269.3814034
51353,1681190269.3824055
52149,1681190269.3903472
52381,1681190269.3913453
52613,1681190269.3923433
55241,1681190269.3983536
55489,1681190269.3993251
55505,1681190269.400322
56925,1681190269.4234843
57065,1681190269.4561017
57677,1681190269.4601357
57805,1681190269.4630857
57985,1681190269.465132
58301,1681190269.469125
58493,1681190269.4711387
58853,1681190269.4748275
58909,1681190269.476796
59025,1681190269.4827766
59185,1681190269.5135362
59265,1681190269.5164669
59325,1681190269.5187504
59381,1681190269.5210109
59689,1681190269.5245295
61357,1681190269.5551198
62049,1681190269.5571513
62413,1681190269.5581121
62429,1681190269.5591109
62793,1681190269.560108
63345,1681190269.5873702
63485,1681190269.5884252
64085,1681190269.6072683
64265,1681190269.6082258
64269,1681190269.6093154
64785,1681190269.6096344
64825,1681190269.6107295
64861,1681190269.6107295
64889,1681190269.6117306
65269,1681190269.6117306
401,1681190269.6345084
705,1681190269.635508
1813,1681190269.6394954
1941,1681190269.6404932
3201,1681190269.6680179
3645,1681190269.6690195
3965,1681190269.6700165
4089,1681190269.670859
4253,1681190269.671667
4601,1681190269.6726682
4609,1681190269.6726682
4893,1681190269.6746628
6081,1681190269.6761901
7481,1681190269.682154
7585,1681190269.6831255
7617,1681190269.6831255
8565,1681190269.685147
8605,1681190269.685147
9133,1681190269.686119
10857,1681190269.7210565
11017,1681190269.7220554
11937,1681190269.7240496
12293,1681190269.7250507
12581,1681190269.7275212
12605,1681190269.7281914
12725,1681190269.7291932
13373,1681190269.7523499
13777,1681190269.7543483
13861,1681190269.7553453
11937,1681190269.7563448
14625,1681190269.7633247
14981,1681190269.7641892
15389,1681190269.7923017
15729,1681190269.7942982
16137,1681190269.7972085
16449,1681190269.7979922
17329,1681190269.834721
17377,1681190269.8367085
17433,1681190269.8377056
17873,1681190269.8403108
17981,1681190269.84131
18053,1681190269.8478863
18149,1681190269.8484979
18933,1681190269.853021
18149,1681190269.8538525
18149,1681190269.8543496
19053,1681190269.8565748
19485,1681190269.8694534
